TF	Description	Literature	Link
MADS-M-type	Plant life critically depends on the function of MADS-box genes encoding MADS-domain transcription factors, which are present to a limited extent in nearly all major eukaryotic groups, but constitute a large gene family in land plants. There are two types of MADS-box genes, termed type I and type II, and in plants these groups are distinguished by exon-intron and domain structure, rates of evolution, developmental function and degree of functional redundancy. The type I genes are further subdivided into three groups - M alpha, M beta and M gamma - while the type II genes are subdivided into the MIKCC and MIKC* groups. The functional diversification of MIKCC genes is closely linked to the origin of developmental and morphological novelties in the sporophytic (usually diploid) generation of seed plants, most spectacularly the floral organs and fruits of angiosperms. Functional studies suggest different specializations for the different classes of genes; whereas type I genes may preferentially contribute to female gametophyte, embryo and seed development and MIKC*-group genes to male gametophyte development, the MIKCC-group genes became essential for diverse aspects of sporophyte development. Beyond the usual transcriptional regulation, including feedback and feed-forward loops, various specialized mechanisms have evolved to control the expression of MADS-box genes, such as epigenetic control and regulation by small RNAs. In future, more data from genome projects and reverse genetic studies will allow us to understand the birth, functional diversification and death of members of this dynamic and important family of transcription factors in much more detail.	Gramzow L, Theissen G (2010) A hitchhikerâ€™s guide to the MADS world of plants. Genome Biol 11: 214	http://www.ncbi.nlm.nih.gov/pubmed/20587009
NF-YA	The CCAAT motif is one of the common promoter elements present in the proximal promoter of numerous mammalian genes transcribed by RNA polymerase II. CBF (also called NF-Y and CP1) consists of three different subunits and interacts specifically with the CCAAT motif. In each CBF subunit, the segment needed for formation of the CBF-DNA complex is conserved from yeast to human and, interestingly, the conserved segment of two CBF subunits, CBF-A and CBF-C, are homologous to the histone-fold motif of eukaryotic histones and archaebacterial histone-like protein HMf-2. The histone fold motifs of CBF-A and CBF-C interact with each other to form a heterodimer that associates with CBF-B to form a heterotrimeric CBF molecule, which then binds to DNA.	Maity SN, de Crombrugghe B (1998) Role of the CCAAT-binding protein CBF/NF-Y in transcription. Trends Biochem Sci 23: 174--8	https://www.ncbi.nlm.nih.gov/pubmed/9612081
PLATZ	Complementary DNA encoding a DNA-binding protein, designated PLATZ1 (plant AT-rich sequence- and zinc-binding protein 1), was isolated from peas. The amino acid sequence of the protein is similar to those of other uncharacterized proteins predicted from the genome sequences of higher plants. However, no paralogous sequences have been found outside the plant kingdom. Multiple alignments among these paralogous proteins show that several cysteine and histidine residues are invariant, suggesting that these proteins are a novel class of zinc-dependent DNA-binding proteins with two distantly located regions, C-x(2)-H-x(11)-C-x(2)-C-x((4-5))-C-x(2)-C-x((3-7))-H-x(2)-H and C-x(2)-C-x((10-11))-C-x(3)-C. In an electrophoretic mobility shift assay, the zinc chelator 1,10-o-phenanthroline inhibited DNA binding, and two distant zinc-binding regions were required for DNA binding. A protein blot with (65)ZnCl(2) showed that both regions are required for zinc-binding activity. The PLATZ1 protein non-specifically binds to A/T-rich sequences, including the upstream region of the pea GTPase pra2 and plastocyanin petE genes. Expression of the PLATZ1 repressed those of the reporter constructs containing the coding sequence of luciferase gene driven by the cauliflower mosaic virus (CaMV) 35S90 promoter fused to the tandem repeat of the A/T-rich sequences. These results indicate that PLATZ1 is a novel class of plant-specific zinc-dependent DNA-binding protein responsible for A/T-rich sequence-mediated transcriptional repression.	Nagano Y, Furuhashi H, Inaba T, Sasaki Y (2001) A novel class of plant-specific zinc-dependent DNA-binding protein that binds to A/T-rich DNA sequences. Nucleic Acids Res 29: 4097--105	http://www.ncbi.nlm.nih.gov/pubmed/11600698
SRS	Gene duplication events, and the subsequent functional divergence of duplicates, are believed to be important evolutionary agents, driving morphological diversification. We have studied the structural and functional diversification of members of a plant-specific gene family in Arabidopsis thaliana by analysing mutant phenotypes, expression patterns and phylogeny. The SHI gene family comprises ten members that encode proteins with a RING finger-like zinc finger motif. We show that, despite being highly divergent in sequence, except in two conserved regions, many of the SHI-related genes are partially redudant in function and synergistically promote gynoecium, stamen and leaf development in Arabidopsis. Gynoecia of the loss-of-function sty1-1 mutant display subtle morphological defects, and, although mutations in the related STY2, SHI, SRS3, SRS4, SRS5, SRS7 and LRP1 genes have no apparent effect on gynoecium development, the sty1-1 mutant phenotype is gradually enhanced in double, triple, quadruple and quintuple mutant combinations, suggesting a remarkably extensive functional conservation within the family, which appears to be based on dosage dependency and protection against dominant negative mutations. In multiple mutant lines, all marginal tissues in the apical part of the gynoecium are dramatically reduced or missing, and our data indicate that SHI family members may promote formation of these tissues downstream of the transcriptional co-repressor LEUNIG (LUG).	Kuusk S, Sohlberg JJ, Magnus Eklund D, Sundberg E (2006) Functionally redundant SHI family genes regulate Arabidopsis gynoecium development in a dose-dependent manner. Plant J 47: 99--111	http://www.ncbi.nlm.nih.gov/pubmed/16740146
TUB	In mammals, TUBBY-like proteins play an important role in maintenance and function of neuronal cells during postdifferentiation and development. We have identified a TUBBY-like protein gene family with 11 members in Arabidopsis, named AtTLP1-11. Although seven of the AtTLP genes are located on chromosome I, no local tandem repeats or gene clusters are identified. Except for AtTLP4, reverse transcription-PCR analysis indicates that all these genes are expressed in various organs in 6-week-old Arabidopsis. AtTLP1, 2, 3, 6, 7, 9, 10, and 11 are expressed ubiquitously in all the organs tested, but the expression of AtTLP5 and 8 shows dramatic organ specificity. These 11 family members share 30% to 80% amino acid similarities across their conserved C-terminal tubby domains. Unlike the highly diverse N-terminal region of animal TUBBY-like proteins, all AtTLP members except AtTLP8 contain a conserved F-box domain (51-57 residues). The interaction between AtTLP9 and ASK1 (Arabidopsis Skp1-like 1) is confirmed via yeast (Saccharomyces cerevisiae) two-hybrid assays. Abscisic acid (ABA)-insensitive phenotypes are observed for two independent AtTLP9 mutant lines, whereas transgenic plants overexpressing AtTLP9 are hypersensitive to ABA. These results suggest that AtTLP9 may participate in the ABA signaling pathway.	Lai C-P, Lee C-L, Chen P-H, Wu S-H, Yang C-C, Shaw J-F (2004) Molecular analyses of the Arabidopsis TUBBY-like protein gene family. Plant Physiol 134: 1586--97	http://www.ncbi.nlm.nih.gov/pubmed/15064372
zf-HD	We are interested in the regulatory mechanisms responsible for the mesophyll-specific expression of C4 phosphoenolpyruvate carboxylase (PEPCase). A one-hybrid screen resulted in the cloning of four different members of a novel class of plant homeodomain proteins, which are most likely involved in the mesophyll-specific expression of the C4 PEPCase gene in C4 species of the genus Flaveria. Inspection of the homeodomains of the four proteins reveals that they share many common features with homeodomains described so far, but there are also significant differences. Interestingly, this class of homeodomain proteins occurs also in Arabidopsis thaliana and other C3 plants. One-hybrid experiments as well as in vitro DNA binding studies confirmed that these novel homeodomain proteins specifically interact with the proximal region of the C4 PEPCase gene. The N-terminal domains of the homeodomain proteins contain highly conserved sequence motifs. Two-hybrid experiments show that these motifs are sufficient to confer homo- or heterodimer formation between the proteins. Mutagenesis of conserved cysteine resiues within the dimerization domain indicates that these residues are essential for dimer formation. Therefore, we designate this novel class of homeobox proteins ZF-HD, for zinc finger homeodomain protein. Our data suggest that the ZF-HD class of homeodomain proteins may be involved in the establishment of the characteristic expression pattern of the C4 PEPCase gene.	Windhövel A, Hein I, Dabrowa R, Stockhaus J (2001) Characterization of a novel class of plant homeodomain proteins that bind to the C4 phosphoenolpyruvate carboxylase gene of Flaveria trinervia. Plant Mol Biol 45: 201--14	http://www.ncbi.nlm.nih.gov/pubmed/11289511
B3	The plant-specific B3 superfamily encompasses well-characterized families, such as the auxin response factor (ARF) family and the LAV family, as well as less well understood families, such as RAV and REM. In Arabidopsis, there are 118 B3 genes, and in rice there are 91 B3 genes. The B3 domain is present in genes from gymnosperms, mosses and green algae, indicating that the B3 domain evolved on the plant lineage before multicellularity. The aim of this review is to phylogenetically characterize the members of the B3 family in Arabidopsis and rice and to review the function of the B3 genes that have been studied to date.	Swaminathan K, Peterson K, Jack T (2008) The plant B3 superfamily. Trends Plant Sci 13: 647--55	http://www.ncbi.nlm.nih.gov/pubmed/18986826
bZIP	In plants, basic region/leucine zipper motif (bZIP) transcription factors regulate processes including pathogen defence, light and stress signalling, seed maturation and flower development. The Arabidopsis genome sequence contains 75 distinct members of the bZIP family, of which approximately 50 are not described in the literature. Using common domains, the AtbZIP family can be subdivided into ten groups. Here, we review the available data on bZIP functions in the context of subgroup membership and discuss the interacting proteins. This integration is essential for a complete functional characterization of bZIP transcription factors in plants, and to identify functional redundancies among AtbZIP factors.	Jakoby M, Weisshaar B, Dröge-Laser W, Vicente-Carbajosa J, Tiedemann J, Kroj T, Parcy F, bZIP Research Group (2002) bZIP transcription factors in Arabidopsis. Trends Plant Sci 7: 106--11	http://www.ncbi.nlm.nih.gov/pubmed/11906833
C2C2-Dof	Dof (DNA-binding with one finger) domain proteins are plant-specific transcription factors with a highly conserved DNA-binding domain, which presumably includes a single C(2)-C(2) zinc finger. During the past decade, numerous Dof domain proteins have been identified in both monocots and dicots including maize, barley, wheat, rice, tobacco, Arabidopsis, pumpkin, potato, and pea. Biochemical, molecular biological and molecular genetic analyses revealed that Dof domain proteins function as a transcriptional activator or a repressor involved in diverse plant-specific biological processes. Although more physiological roles of Dof domain proteins would be elucidated in future because of numerous Dof domain proteins in plants, it is already evident that the Dof domain proteins play critical roles as transcriptional regulators in plant growth and development. Here I summarize our current knowledge about Dof domain proteins.	Yanagisawa S (2004) Dof domain proteins: plant-specific transcription factors associated with diverse phenomena unique to plants. Plant Cell Physiol 45: 386--91	http://www.ncbi.nlm.nih.gov/pubmed/15111712
CSD	We show that the open reading frame transcribed from the unr gene (immediately upstream of N-ras) in mammals consists of multiple repeats similar to the cold-shock domain (CSD), a putative DNA-binding motif found in prokaryotic cold-shock proteins, and eukaryotic DNA-binding proteins. Alignment of the CSD sequences of unr with those from other proteins reveals a core of similarity for which a consistent secondary structure prediction can be derived. This prediction suggests that the CSD consists primarily of beta-sheet, in contrast to most known eukaryotic DNA-binding proteins. Sequence analysis of the 3' end of the guinea pig unr gene shows that the core of one CSD repeat is encoded in a single exon, consistent with the modular assembly of the gene from ancestral CSD-coding units.	Doniger J, Landsman D, Gonda MA, Wistow G (1992) The product of unr, the highly conserved gene upstream of N-ras, contains multiple repeats similar to the cold-shock domain (CSD), a putative DNA-binding motif. New Biol 4: 389--95	http://www.ncbi.nlm.nih.gov/pubmed/1622933
EIL	The plant hormone ethylene regulates many aspects of growth, development and responses to the environment. The Arabidopsis ETHYLENE INSENSITIVE3 (EIN3) protein is a nuclear-localized component of the ethylene signal-transduction pathway with DNA-binding activity. Loss-of-function mutations in this protein result in ethylene insensitivity in Arabidopsis. To gain a better understanding of the ethylene signal-transduction pathway in tomato, we have identified three homologs of the Arabidopsis EIN3 gene (LeEILs). Each of these genes complemented the ein3-1 mutation in transgenic Arabidopsis, indicating that all are involved in ethylene signal transduction. Transgenic tomato plants with reduced expression of a single LeEIL gene did not exhibit significant changes in ethylene response; reduced expression of multiple tomato LeEIL genes was necessary to reduce ethylene sensitivity significantly. Reduced LeEIL expression affected all ethylene responses examined, including leaf epinasty, flower abscission, flower senescence and fruit ripening. Our results indicate that the LeEILs are functionally redundant and positive regulators of multiple ethylene responses throughout plant development.	Tieman DM, Ciardi JA, Taylor MG, Klee HJ (2001) Members of the tomato LeEIL (EIN3-like) gene family are functionally redundant and regulate ethylene responses throughout plant development. Plant J 26: 47--58	http://www.ncbi.nlm.nih.gov/pubmed/11359609
GRAS	The molecular mechanisms of plant growth and development have been analyzed in detail during the past years. The critical role of a plant-specific family of GRAS domain proteins in these processes has become apparent. In this review we highlight the importance of DELLA proteins in gibberellic acid (GA) and light signaling, the regulation of root patterning by SCR-SHR interactions and the requirement of two GRAS proteins from legumes, NSP1 and NSP2, for root nodule symbiosis. We discuss common and distinct molecular mechanisms underlying GRAS protein function and emphasise new discoveries regarding their function as transcription factors and the role of protein movement in refining their mode of action.	Hirsch S, Oldroyd GED (2009) GRAS-domain transcription factors that regulate plant development. Plant Signal Behav 4: 698--700	http://www.ncbi.nlm.nih.gov/pubmed/19820314
HB-PHD	The proper timing of flowering is critical for successful reproduction. The perception of the seasonal cues of day-length changes and exposure to cold influences flowering time in many plant species through the photoperiod and vernalization pathways, respectively. Here we show that a plant homeodomain (PHD) finger-containing protein, VIN3-LIKE 1 (VIL1), participates in both the photoperiod and vernalization pathways in Arabidopsis thaliana by regulating expression of the related floral repressors FLOWERING LOCUS C (FLC) and FLOWERING LOCUS M (FLM). In the vernalization pathway, VIL1, along with VERNALIZATION INSENSITIVE 3 (VIN3), is necessary for the modifications to FLC and FLM chromatin that are associated with an epigenetically silenced state and with acquisition of competence to flower. In addition, VIL1 regulates FLM independently of VIN3 in a photoperiod-dependent manner.	Sung S, Schmitz RJ, Amasino RM (2006) A PHD finger protein involved in both the vernalization and photoperiod pathways in Arabidopsis. Genes Dev 20: 3244--8	http://www.ncbi.nlm.nih.gov/pubmed/17114575
LBD	Conserved in a variety of evolutionarily divergent plant species, LOB DOMAIN (LBD) genes define a large, plant-specific family of largely unknown function. LBD genes have been implicated in a variety of developmental processes in plants, although to date, relatively few members have been assigned functions. LBD proteins have previously been predicted to be transcription factors, however supporting evidence has only been circumstantial. To address the biochemical function of LBD proteins, we identified a 6-bp consensus motif recognized by a wide cross-section of LBD proteins, and showed that LATERAL ORGAN BOUNDARIES (LOB), the founding member of the family, is a transcriptional activator in yeast. Thus, the LBD genes encode a novel class of DNA-binding transcription factors. Post-translational regulation of transcription factors is often crucial for control of gene expression. In our study, we demonstrate that members of the basic helix-loop-helix (bHLH) family of transcription factors are capable of interacting with LOB. The expression patterns of bHLH048 and LOB overlap at lateral organ boundaries. Interestingly, the interaction of bHLH048 with LOB results in reduced affinity of LOB for the consensus DNA motif. Thus, our studies suggest that bHLH048 post-translationally regulates the function of LOB at lateral organ boundaries.	Husbands A, Bell EM, Shuai B, Smith HMS, Springer PS (2007) LATERAL ORGAN BOUNDARIES defines a new family of DNA-binding transcription factors and can interact with specific bHLH proteins. Nucleic Acids Res 35: 6663--71	http://www.ncbi.nlm.nih.gov/pubmed/17913740
MYB	The MYB family of proteins is large, functionally diverse and represented in all eukaryotes. Most MYB proteins function as transcription factors with varying numbers of MYB domain repeats conferring their ability to bind DNA. In plants, the MYB family has selectively expanded, particularly through the large family of R2R3-MYB. Members of this family function in a variety of plant-specific processes, as evidenced by their extensive functional characterization in Arabidopsis (Arabidopsis thaliana). MYB proteins are key factors in regulatory networks controlling development, metabolism and responses to biotic and abiotic stresses. The elucidation of MYB protein function and regulation that is possible in Arabidopsis will provide the foundation for predicting the contributions of MYB proteins to the biology of plants in general.	Dubos C, Stracke R, Grotewold E, Weisshaar B, Martin C, Lepiniec L (2010) MYB transcription factors in Arabidopsis. Trends Plant Sci 15: 573--81	http://www.ncbi.nlm.nih.gov/pubmed/20674465
NF-YB	The CCAAT motif is one of the common promoter elements present in the proximal promoter of numerous mammalian genes transcribed by RNA polymerase II. CBF (also called NF-Y and CP1) consists of three different subunits and interacts specifically with the CCAAT motif. In each CBF subunit, the segment needed for formation of the CBF-DNA complex is conserved from yeast to human and, interestingly, the conserved segment of two CBF subunits, CBF-A and CBF-C, are homologous to the histone-fold motif of eukarotic histones and archaebacterial histone-like protein HMf-2. The histone fold motifs of CBF-A and CBF-C interact with each other to form a heterodimer that associates with CBF-B to form a heterotrimeric CBF molecule, which then binds to DNA.	Maity SN, de Crombrugghe B (1998) Role of the CCAAT-binding protein CBF/NF-Y in transcription. Trends Biochem Sci 23: 174--8	https://www.ncbi.nlm.nih.gov/pubmed/9612081
RWP-RK	The plant specific RWP-RK family of transcription factors, initially identified in legumes and Chlamydomonas, are found in all vascular plants, green algae, and slime molds. These proteins possess a characteristic RWP-RK motif, which mediates DNA binding. Based on phylogenetic and domain analyses, we classified the RWP-RK proteins of six different species in two subfamilies: the NIN-like proteins (NLPs), which carry an additional PB1 domain at their C-terminus, and the RWP-RK domain proteins (RKDs), which are divided into three subgroups. Although, the functional analysis of this family is still in its infancy, several RWP-RK proteins have a key role in regulating responses to nitrogen availability. The nodulation-specific NIN proteins are involved in nodule organogenesis and rhizobial infection under nitrogen starvation conditions. Arabidopsis NLP7 in particular is a major player in the primary nitrate response. Several RKDs act as transcription factors involved in egg cell specification and differentiation or gametogenesis in algae, the latter modulated by nitrogen availability. Further studies are required to extend the general picture of the functional role of these exciting transcription factors.	Chardin C, Girin T, Roudier F, Meyer C, Krapp A (2014) The plant RWP-RK transcription factors: key regulators of nitrogen responses and of gametophyte development. J Exp Bot 65: 5577--87	http://www.ncbi.nlm.nih.gov/pubmed/24987011
STAT	CudA, a nuclear protein required for Dictyostelium prespore-specific gene expression, binds in vivo to the promoter of the cotC prespore gene. A 14 nucleotide region of the cotC promoter binds CudA in vitro and ECudA, an Entamoeba CudA homologue, also binds to this site. The CudA and ECudA DNA-binding sites contain a dyad and, consistent with a symmetrical binding site, CudA forms a homodimer in the yeast two-hybrid system. Mutation of CudA binding sites within the cotC promoter reduces expression from cotC in prespore cells. The CudA and ECudA proteins share a 120 amino acid core of homology, and clustered point mutations introduced into two highly conserved motifs within the ECudA core region decrease its specific DNA binding in vitro. This region, the presumptive DNA-binding domain, is similar in sequence to domains in two Arabidopsis proteins and one Oryza protein. Significantly, these are the only proteins in the two plant species that contain an SH2 domain. Such a structure, with a DNA-binding domain located upstream of an SH2 domain, suggests that the plant proteins are orthologous to metazoan STATs. Consistent with this notion, the DNA sequence of the CudA half site, GAA, is identical to metazoan STAT half sites, although the relative positions of the two halves of the dyad are reversed. These results define a hitherto unrecognised class of transcription factors and suggest a model for the evolution of STATs and their DNA-binding sites.	Yamada Y, Wang HY, Fukuzawa M, Barton GJ, Williams JG (2008) A new family of transcription factors. Development 135: 3093--101	http://www.ncbi.nlm.nih.gov/pubmed/18701541
ULT	During development, trithorax group (trxG) chromatin remodeling complexes counteract repression by Polycomb group (PcG) complexes to sustain active expression of key regulatory genes. Although PcG complexes are well characterized in plants, little isknown about trxG activities. Here we demonstrate that the Arabidopsis SAND (Sp100, AIRE-1, NucP41/75, DEAF-1) domain protein ULTRAPETALA1 (ULT1) functions as a trxG factor that counteracts the PcG-repressive activity of CURLY LEAF. In floral stem cells, ULT1 protein associates directly with the master homeotic locus AGAMOUS, inducing its expression by regulating its histone methylation status. Our analysis introduces a novel mechanism that mediates epigenetic switches controlling post-embryonic stem cell fates in plants.	Carles CC, Fletcher JC (2009) The SAND domain protein ULTRAPETALA1 acts as a trithorax group factor to regulate cell fate in plants. Genes Dev 23: 2723--8	http://www.ncbi.nlm.nih.gov/pubmed/19952107
